Action,Item,Invested,Net Profit,Value,Buy,Sell,Profile
Buy,SPX500,2.6121,-3.9551,2.855971203420533,4714.54,4713.79,fijnje
Buy,NASDAQ100,4.408,-9.1031,4.5611317691096405,16422.6,16420.2,fijnje
Buy,DJ30,2.6121,-7.5297,2.7496776109572063,35891.25,35885.25,fijnje
Buy,Bitcoin Cash,2.9496,-82.3844,0.5914888808008567,622.36,610.66,fijnje
Buy,XRP,10.5986,-61.7656,4.613032013780934,1.0386,1.0126,fijnje
Buy,Dash,2.8733,-86.2056,0.4512033738833789,207.0,201.09,fijnje
Buy,Alphabet,5.3386,1.1907,5.510706701491861,2937.111,2930.7599,eddyb123
Buy,Meta Platforms Inc,3.3811,31.8446,4.5473812851415465,341.5571,340.803,eddyb123
Buy,Microsoft,3.559,1.8296,3.696997809801436,338.1942,337.536,eddyb123
Buy,Amazon,3.0252,11.879,3.45257367070904,3583.6524,3575.9687,eddyb123
Buy,"First Solar, Inc.",2.1354,-9.5639,1.970007079966641,108.4775,108.1726,eddyb123
Buy,"Netflix, Inc.",3.559,-2.9773,3.522476044766346,658.9325,657.3279,eddyb123
Buy,"Baidu, Inc.",1.7795,-7.0411,1.6874695815096183,151.6163,151.2937,eddyb123
Buy,Check Point Software Technologies,1.7795,-2.9739,1.7613011952515638,111.7004,111.4796,eddyb123
Buy,Alibaba,2.6693,-33.892,1.8000723308421902,136.7329,136.3372,eddyb123
Buy,Spotify ,3.559,-17.0268,3.0124013742035514,250.0448,249.3754,eddyb123
Buy,Cara Therapeutics ,1.4236,-24.0119,1.1035200607174904,13.382,13.338,eddyb123
Buy,Cronos Group Inc,1.4236,-52.9814,0.682817337100463,4.8243,4.8057,eddyb123
Buy,Uber,2.6693,-3.4664,2.6285394579993278,42.0979,42.0122,eddyb123
Buy,PayPal Holdings,2.6693,-18.3988,2.221941408536107,188.8798,188.5002,eddyb123
Buy,Advanced Micro Devices Inc,2.1354,25.1743,2.726727968786994,158.0721,157.7779,eddyb123
Buy,Salesforce.com Inc,5.3386,-4.0271,5.22654721392991,289.4903,288.8199,eddyb123
Buy,"Square, Inc.",1.7795,-16.3965,1.5176418017567477,215.9242,215.4359,eddyb123
Buy,SolarEdge Technologies,2.6693,-0.8415,2.7000148284015437,348.7636,347.8565,eddyb123
Buy,Tencent,1.7795,3.4565,1.878032170499272,478.63,477.57,eddyb123
Buy,SPDR Gold,4.8403,3.8047,5.125442289701729,167.2704,166.9596,eddyb123
Buy,iShares Core FTSE 100 UCITS ETF (Dist),3.559,5.4272,3.82761380775403,717.04,715.56,eddyb123
Sell,Invesco China Technology ETF,3.559,9.5342,3.9767212424707856,68.4916,68.2985,eddyb123
Buy,CyberArk,1.7795,20.5756,2.188793151082482,174.9373,174.5328,eddyb123
Buy,Mandiant Inc,2.6693,1.0272,2.7509017815095786,17.1955,17.1545,eddyb123
Buy,Atlassian Corp PLC A,1.7795,-13.0843,1.5777680752705516,393.3937,392.4965,eddyb123
Buy,Tencent Music Entertainment Group,1.7795,-7.3657,1.681576006074954,7.4367,7.4133,eddyb123
Buy,Fiverr International ,1.7795,-13.0013,1.5792751258973565,145.641,145.2092,eddyb123
Buy,Douyu ,2.1354,-10.2834,1.954333760709014,2.9226,2.9074,eddyb123
Buy,Cloudflare,3.559,1.8019,3.6959932394790793,197.4475,196.9925,eddyb123
Buy,Peloton Interactive,1.7795,-50.9168,0.891000266897722,43.9495,43.8605,eddyb123
Buy,Sumo Logic Inc. ,1.7795,-15.5974,1.5321485872241487,14.3729,14.3271,eddyb123
Buy,Snowflake Inc.,1.7795,53.2355,2.7816638325089884,355.98,354.8803,eddyb123
Buy,Oatly Group AB,1.7795,-24.6543,1.3677386998567975,9.8388,9.8012,eddyb123
Buy,Ethereum,1.9574,42.6377,2.84821203866709,4325.3315,4243.9485,eddyb123
Buy,Cardano,2.1478,-20.6612,1.7383239484145676,1.6516,1.6034,eddyb123
Buy,Amazon,5.3903,8.6467,5.820465334371955,3583.6524,3575.9687,robertmerc
Buy,Vale SA,2.188,-8.0318,1.9999372530981963,12.7314,12.6986,robertmerc
Buy,Las Vegas Sands Corp,3.116,-16.0622,2.599517414247437,40.086,39.984,robertmerc
Buy,Nokia Oyj,2.1946,34.0326,2.9235076331922265,5.7652,5.7448,robertmerc
Buy,"Micron Technology, Inc.",3.6856,8.9253,3.9900115771379876,86.3777,86.2123,robertmerc
Buy,Lockheed Martin Corporation,4.6908,-0.3462,4.645947044737677,344.0694,343.2308,robertmerc
Buy,Dropbox Inc,4.8267,2.3281,4.9088407175260445,24.5521,24.4979,robertmerc
Buy,"Overstock.com, Inc.",2.5195,5.6574,2.6458097015061983,92.9836,92.7365,robertmerc
Buy,GoPro Inc,4.8566,6.1912,5.125664428016012,10.5095,10.4806,robertmerc
